cones,cone_length,cone_width,stalk_length,scale_length,scale_width,scale_number,cone_ratio,angle,hue,value,chroma,profile,openness,seed_number,filled_seeds,viability,seed_weight,dry_weight,wet_weight
29,32.17,15.69,8.34,7.47,6.92,57,1.881294964,18,1,7,4,2,3,13,10,0.769230769,0.078,2.44,3.14
29,33.48,16.76,6.11,7,6.02,59,2.74304419,12,1,7,4,2,3,16,14,0.875,0.097,2.65,3.72
29,42.59,19.65,9.58,7.44,6.35,74,2.051148225,17,1,7,4,2,3,27,23,0.851851852,0.176,4.58,3.22
30,54.77,25.74,10.57,9.67,8.81,75,2.435193945,7,1,7,4,3,2,36,15,0.416666667,0.267,8.91,11.83
30,46.21,24.15,10.8,9.68,9.1,66,2.236111111,10,1,8,4,3,3,33,30,0.909090909,0.357,6.92,9.72
30,47.08,22.54,10.33,9.69,8.72,62,2.181994192,12,1,8,4,3,3,31,30,0.967741935,0.329,5.77,8.26
30,49.11,24.22,10.69,9.86,8.43,66,2.265668849,9,1,6,4,3,3,36,31,0.861111111,0.374,6.89,9.61
30,46.02,23.42,10.93,8.37,7.53,67,2.142726441,9,1,7,4,3,4,45,39,0.866666667,0.377,6.6,9.37
5,33.96,16.21,10.33,5.81,5.59,48,1.569215876,6,1,5,2,1,4,15,11,0.733333333,0.083,2.28,3.79
5,38.19,17.52,9.9,7.68,7.54,44,1.76969697,5,1,5,2,1,2,16,11,0.6875,0.109,3.36,5.02
5,36.55,16.96,7.9,7.22,7.12,43,2.146835443,8,1,5,2,2,4,19,13,0.684210526,0.121,2.94,4.88
5,38.37,15.93,10.02,6.82,7.71,46,1.589820359,7,1,7,4,1,4,25,17,0.68,0.111,2.88,4.36
5,43.35,21.33,10.02,6.84,7.11,70,2.128742515,9,1,7,4,2,4,34,25,0.735294118,0.231,4.76,7.52
82,41.62,18.4,9.08,7.45,7.04,59,2.026431718,6,2,7,4,1,4,22,16,0.727272727,0.138,4.32,6.09
82,43.92,19.51,7.54,8.26,7.67,54,2.587533156,5,1,7,4,1,4,32,28,0.875,0.2,4.14,6.95
82,44.69,21.86,9.74,8.31,7.93,56,2.244353183,8,1,7,6,2,4,34,31,0.911764706,0.238,4.54,6.66
82,45.88,19.97,10.31,7.64,7.01,62,1.936954413,5,1,7,2,1,4,37,34,0.918918919,0.253,4.14,6.17
82,44.06,20.89,9.66,6.88,7.31,64,2.16252588,6,1,7,4,2,4,44,42,0.954545455,0.278,4.96,7.26
95,34.02,19.36,8.98,6.41,6.03,56,2.155902004,9,2,6,6,2,4,26,19,0.730769231,0.205,3.12,4.54
95,52.96,29.65,13.51,9.22,9.14,84,2.194670614,12,1,7,4,4,4,26,21,0.807692308,0.331,9.09,12.69
95,42.05,24.54,10.78,8.08,8.91,68,2.276437848,6,1,7,4,3,4,38,24,0.631578947,0.376,4.96,7.2
95,44.87,25.51,10.52,7.22,7.69,69,2.424904943,5,2,6,6,3,4,44,40,0.909090909,0.473,6.46,9.3
95,54.99,31.03,11.11,9.8,9.96,82,2.792979298,13,2,6,6,4,4,48,43,0.895833333,0.442,10.99,15.5
2,22.08,14.55,8.46,5.45,5.38,46,1.719858156,12,1,5,2,1,1,0,0,0,0,1.18,1.69
2,26.42,15.95,9.36,4.98,5.25,42,1.704059829,12,1,5,2,1,1,0,0,0,0,1.68,2.49
2,29.52,18.27,8.78,6.09,6.35,47,2.080865604,9,1,7,4,1,1,0,0,0,0,2.49,3.78
2,33.99,19.01,7.59,6.35,6.32,55,2.504611331,9,1,7,4,2,1,0,0,0,0,3.05,4.81
2,40.62,22.87,7.45,7.5,8.07,69,3.069798658,9,1,8,4,2,2,25,25,1,0.218,5.08,7.55
55,44.2,24.07,8.63,7.74,8.45,56,2.789107764,5,1,7,2,2,3,26,22,0.846153846,0.164,5.94,8.44
55,44.16,25.06,10.08,7.41,8.25,59,2.486111111,6,1,7,2,2,2,32,25,0.78125,0.2,6.63,9.27
55,47.88,24.89,9.56,6.89,8.45,60,2.603556485,9,1,7,4,2,3,34,30,0.882352941,0.24,7.33,10.32
